log(psoda),prpblck,prppov,log(income),log(hseval)
0.049218023,0.1711542,0.0365789,4.648691705,5.171141151
0.025305865,0.1711542,0.0365789,4.648691705,5.171141151
0.025305865,0.0473602,0.0879072,4.61451757,5.228400359
0.049218023,0.0528394,0.0591227,4.702137461,5.234517284
0.049218023,0.03448,0.0254145,4.859060201,5.396373728
0.025305865,0.0591327,0.0835001,4.648506378,5.170261715
0.068185862,0.0186773,0.0292349,4.792783778,5.32776749
0.068185862,0.004906,0.0337599,4.729610199,5.29841638
0.071882007,0.9210559,0.2036816,4.495738547,5.016197354
0.068185862,0.9210559,0.2036816,4.495738547,5.016197354
0.025305865,0.9210559,0.2036816,4.495738547,5.016197354
0.025305865,0.9210559,0.2036816,4.495738547,5.016197354
0.021189299,0.9210559,0.2036816,4.495738547,5.016197354
0.068185862,0.0139109,0.0845399,4.586238379,5.28171497
0.06069784,0.0102124,0.0598162,4.782880927,5.451479405
0.103803721,0.0102124,0.0598162,4.782880927,5.451479405
0.025305865,0.0060904,0.0386507,4.680253906,5.224533063
0.025305865,0.0035406,0.1118771,4.564725228,5.139879086
0.025305865,0.0104519,0.0608489,4.633690596,5.221414238
0.079181246,0.0073866,0.0135908,4.897764505,5.389874558
-0.022276395,0.0073866,0.0135908,4.897764505,5.389874558
0.045322979,0.120063,0.0322987,4.814886577,5.29841638
0.008600172,0.4336102,0.0765275,4.755058835,5.390758529
0.025305865,0.022127,0.0927505,4.609797104,5.239299479
0.103803721,0.022127,0.0927505,4.609797104,5.239299479
0.068185862,0.6963651,0.1611239,4.522522478,5.076640444
0.071882007,0.0557306,0.0403421,4.772805617,5.304490528
0.025305865,0.0557306,0.0403421,4.772805617,5.304490528
0.068185862,0.0323523,0.026696,4.759093441,5.339650158
0.025305865,0.0323523,0.026696,4.759093441,5.339650158
0.049218023,0.0323523,0.026696,4.759093441,5.339650158
0.041392685,0.2046583,0.1691744,4.489635098,5.212187604
0.041392685,0.0050961,0.0085349,4.918014601,5.465977368
0.025305865,0.3598951,0.0931701,4.67886422,5.244524512
0.025305865,0.3598951,0.0931701,4.67886422,5.244524512
0.049218023,0.3598951,0.0931701,4.67886422,5.244524512
-0.017728767,0.636803,0.0816689,4.683128123,5.1532049
0.049218023,0.0048807,0.0182062,4.732079989,5.293362555
