log(wage),educ,exper,exp+tenure
2.88592634,12,11,13
2.907411361,18,11,27
2.916453949,14,11,20
2.812913357,12,13,20
2.749736316,11,14,19
3.146128036,16,14,16
2.77815125,10,13,13
3.033825694,18,8,22
3.062205809,15,13,14
3,12,16,32
2.968482949,18,8,21
2.96425963,14,9,20
2.954242509,15,4,7
3.11991541,16,7,9
3.253338005,16,9,18
2.981365509,10,17,19
3.133538908,15,6,15
2.929418926,11,19,29
2.919078092,14,4,11
2.673020907,12,13,20
3.105510185,14,9,10
3.208172527,16,10,14
2.941014244,12,14,17
3.329804522,16,17,25
3.022428371,16,12,19
3.204662512,16,8,17
3.074816441,13,16,21
2.903089987,18,11,12
3.15136985,17,9,13
2.802773725,18,8,21
3,12,17,19
3.153509989,14,15,19
3.426185825,13,12,14
2.823474229,18,8,20
3.250175948,17,8,17
2.893206753,13,9,19
3.196452542,14,7,12
3.105169428,13,11,23
2.853698212,16,9,11
3.033825694,18,11,18
2.840106094,12,21,32
3.11991541,17,10,19
3.093071306,12,16,20
3.011570444,13,12,27
3.242541428,18,12,24
2.991669007,14,9,24
2.886490725,17,7,18
3.062205809,16,11,16
3.062581984,12,16,21
2.907411361,13,14,26
3.041392685,12,22,36
3.062205809,18,10,20
3.242789809,12,13,22
3,16,11,19
2.664641976,12,11,12
2.88592634,18,8,20
2.942008053,16,9,12
3.138302698,12,12,19
3.161966616,17,1,8
2.903089987,12,17,29
3.242541428,17,10,17
3.061075324,12,12,24
2.924279286,12,18,31
2.990338855,12,17,19
2.983626287,12,15,30
2.791690649,12,10,20
2.645422269,12,12,12
2.77815125,15,12,13
3.135450699,12,15,30
3.215637563,18,8,10
3.162862993,16,8,21
3.36361198,18,12,19
3.225825991,16,10,21
3.091666958,12,10,12
2.931966115,16,11,15
3.030194785,16,6,14
3.017033339,15,8,23
3,12,17,32
2.829303773,15,8,10
3.041392685,12,14,15
2.998259338,12,5,19
2.864511081,10,17,22
3.079181246,11,15,18
3.228913406,15,9,17
2.836324116,10,15,18
2.877371346,13,9,14
2.932980822,10,14,29
2.920123326,13,4,6
2.762678564,13,8,9
2.827369273,12,13,16
3.397940009,15,12,21
3.031812271,12,5,13
2.875061263,12,16,19
3.074084689,17,8,17
2.920645001,16,9,16
2.812913357,12,14,25
3.096910013,12,5,21
3.049992857,15,12,21
2.937016107,16,1,12
2.907411361,16,10,17
3.113609151,18,6,18
2.95568775,12,6,18
2.954242509,12,17,32
2.795880017,12,18,18
3.200303183,14,16,17
2.983175072,10,15,31
3.18723862,17,7,15
3.045322979,12,11,17
3.107888025,16,6,12
2.886490725,12,13,15
3,12,16,16
2.951823035,9,17,33
3.080987047,10,13,13
2.875061263,12,11,21
2.815577748,13,5,21
2.778874472,12,15,18
2.77815125,13,10,21
2.636487896,12,11,21
3.074816441,12,11,18
2.802773725,12,15,30
3.088136089,13,9,23
3.061075324,12,19,38
2.937016107,12,15,26
3.013258665,14,9,14
3.020775488,12,9,20
3,12,12,13
3.043362278,13,10,21
3.284205068,18,11,18
3.12904506,16,9,25
2.907948522,12,11,21
3.174641193,18,10,13
3.12904506,16,10,11
3.079181246,12,10,14
2.698970004,12,6,6
3.122215878,12,12,17
2.954242509,12,16,21
2.903089987,12,15,18
2.903089987,12,16,23
3.014520539,12,15,31
2.991226076,12,4,16
2.946452265,10,19,31
2.681241237,10,11,16
2.965201701,18,7,21
2.710117365,17,8,13
3.043362278,11,17,33
3.076640444,12,19,29
3.442636526,18,6,13
2.891537458,12,9,15
2.977723605,11,13,19
3.144262774,16,11,19
3.174641193,17,13,22
2.812913357,12,4,7
2.826074803,13,9,14
3.051538391,16,5,13
2.653212514,12,11,12
3.011993115,12,19,31
3.380934463,15,8,8
3.278524965,18,9,23
2.87909588,16,10,19
3.096910013,14,9,10
3.065206128,16,8,19
3.010723865,15,9,22
3.041392685,16,11,23
2.853698212,16,7,12
3.11991541,16,16,33
3.149527014,18,14,17
3.33485569,17,4,8
3.104828404,14,11,27
3.056904851,12,16,31
2.761927838,13,7,11
2.974050903,12,7,17
3.024485668,12,17,25
2.875061263,14,9,18
3,12,11,17
2.978180517,12,9,16
2.802773725,12,13,15
3.096910013,12,13,14
2.829303773,12,6,21
2.602059991,12,11,17
2.761175813,12,9,17
2.770852012,13,10,17
2.965201701,16,10,20
3.096910013,12,6,8
